,eol_pk,trait_eol_pk,predicate,value_uri,measurement,units_uri,literal
0,MetaTrait-362417452,R917-PK219507379,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,,Mar-17
1,Trait-219507387,R917-PK219507379,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/W_MacKenzie,,,http://eol.org/schema/terms/W_MacKenzie
2,Trait-219507385,R917-PK219507379,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_McKenna,,,http://eol.org/schema/terms/K_McKenna
3,Trait-219507384,R917-PK219507379,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Chapman,,,http://eol.org/schema/terms/K_Chapman
4,Trait-219507381,R917-PK219507379,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/D_Meidinger,,,http://eol.org/schema/terms/D_Meidinger
5,Trait-219507383,R917-PK219507379,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Baldwin,,,http://eol.org/schema/terms/K_Baldwin
6,Trait-219507380,R917-PK219507379,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/C_Kennedy,,,http://eol.org/schema/terms/C_Kennedy
7,Trait-219507386,R917-PK219507379,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/N_Flynn,,,http://eol.org/schema/terms/N_Flynn
8,Trait-219507382,R917-PK219507379,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/J_Archibald,,,http://eol.org/schema/terms/J_Archibald
9,MetaTrait-362416789,R917-PK219506230,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,,Jan-11
10,Trait-219506232,R917-PK219506230,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Chapman,,,http://eol.org/schema/terms/K_Chapman
11,Trait-219506231,R917-PK219506230,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/C_Morneau,,,http://eol.org/schema/terms/C_Morneau
12,MetaTrait-362417080,R917-PK219506638,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,,Sep-11
13,Trait-219506639,R917-PK219506638,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Baldwin,,,http://eol.org/schema/terms/K_Baldwin
14,Trait-219506640,R917-PK219506638,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Chapman,,,http://eol.org/schema/terms/K_Chapman
15,Trait-219506641,R917-PK219506638,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/M_McLaughlan,,,http://eol.org/schema/terms/M_McLaughlan
16,Trait-219506820,R917-PK219506817,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Chapman,,,http://eol.org/schema/terms/K_Chapman
